dataset,language,spkid,gender,whisper_path,normal_path,whisper_length,normal_length,paired,transcription
wtimit,"EN,MA,JP",000,M,s000/audio/s000u003w.wav,s000/audio/s000u003n.wav,44879.0,31367.0,True,This was easy for us.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u004w.wav,s000/audio/s000u004n.wav,56270.0,52087.0,True,Jane may earn more money by working hard.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u005w.wav,s000/audio/s000u005n.wav,46535.0,45571.0,True,She is thinner than I am.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u006w.wav,s000/audio/s000u006n.wav,54416.0,52434.0,True,Bright sunshine shimmers on the ocean.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u007w.wav,s000/audio/s000u007n.wav,49767.0,51442.0,True,Nothing is as offensive as innocence.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u008w.wav,s000/audio/s000u008n.wav,64674.0,55180.0,True,Why yell or worry over silly items?
wtimit,"EN,MA,JP",000,M,s000/audio/s000u009w.wav,s000/audio/s000u009n.wav,52402.0,49140.0,True,Where were you while we were away?
wtimit,"EN,MA,JP",000,M,s000/audio/s000u010w.wav,s000/audio/s000u010n.wav,65441.0,59847.0,True,Are your grades higher or lower than Nancy's?
wtimit,"EN,MA,JP",000,M,s000/audio/s000u011w.wav,s000/audio/s000u011n.wav,62973.0,42551.0,True,He will allow a rare lie.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u012w.wav,s000/audio/s000u012n.wav,51209.0,49415.0,True,Will Robin wear a yellow lily?
wtimit,"EN,MA,JP",000,M,s000/audio/s000u013w.wav,s000/audio/s000u013n.wav,51927.0,48865.0,True,Swing your arm as high as you can.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u014w.wav,s000/audio/s000u014n.wav,58199.0,59628.0,True,"Before Thursday's exam, review every formula."
wtimit,"EN,MA,JP",000,M,s000/audio/s000u015w.wav,s000/audio/s000u015n.wav,69629.0,60121.0,True,The museum hires musicians every evening.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u016w.wav,s000/audio/s000u016n.wav,54306.0,51336.0,True,A roll of wire lay near the wall.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u017w.wav,s000/audio/s000u017n.wav,49987.0,53807.0,True,Carl lives in a lively home.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u018w.wav,s000/audio/s000u018n.wav,57101.0,60321.0,True,Alimony harms a divorced man's wealth.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u019w.wav,s000/audio/s000u019n.wav,58330.0,57544.0,True,Aluminum silverware can often be flimsy.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u020w.wav,s000/audio/s000u020n.wav,60527.0,59681.0,True,"She wore warm, fleecy, woolen overalls."
wtimit,"EN,MA,JP",000,M,s000/audio/s000u021w.wav,s000/audio/s000u021n.wav,43971.0,51611.0,True,Alfalfa is healthy for you.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u022w.wav,s000/audio/s000u022n.wav,54854.0,60944.0,True,"When all else fails, use force."
wtimit,"EN,MA,JP",000,M,s000/audio/s000u023w.wav,s000/audio/s000u023n.wav,66435.0,52434.0,True,Those musicians harmonize marvelously.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u024w.wav,s000/audio/s000u024n.wav,62043.0,50182.0,True,"Although always alone, we survive."
wtimit,"EN,MA,JP",000,M,s000/audio/s000u025w.wav,s000/audio/s000u025n.wav,53807.0,49505.0,True,Only lawyers love millionaires.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u026w.wav,s000/audio/s000u026n.wav,59847.0,50512.0,True,Most young rise early every morning.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u027w.wav,s000/audio/s000u027n.wav,46120.0,45571.0,True,Did dad do academic bidding?
wtimit,"EN,MA,JP",000,M,s000/audio/s000u028w.wav,s000/audio/s000u028n.wav,63141.0,56003.0,True,Beg that guard for one gallon of gas.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u029w.wav,s000/audio/s000u029n.wav,48316.0,52709.0,True,Help Greg to pick a peck of potatoes.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u030w.wav,s000/audio/s000u030n.wav,36237.0,43100.0,True,Get a calico cat to keep.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u031w.wav,s000/audio/s000u031n.wav,57650.0,45022.0,True,A good attitude is unbeatable.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u032w.wav,s000/audio/s000u032n.wav,65957.0,70827.0,True,It's fun to roast marshmallows on a gas burner.
wtimit,"EN,MA,JP",000,M,s000/audio/s000u033w.wav,s000/audio/s000u033n.wav,58411.0,61219.0,True,Coconut cream pie makes a nice dessert.
